n,gamma_true,gamma_pred_RS,error_RS
1,14.134725141734695,14.13472514182,8.530598449851823e-11
2,21.022039638771556,21.022039638986,2.1444535036607704e-10
3,25.01085758014569,25.010858165984,5.8583831119563e-07
4,30.424876125859512,30.424876125624,-2.35512942481364e-10
5,32.93506158773919,32.935061588352,6.128075824562984e-10
6,37.586178158825675,37.592976054076,0.006797895250322483
7,40.9187190121475,40.921749624346,0.0030306121985006484
8,43.327073280915,43.327073280908,-6.998845947236987e-12
9,48.00515088116716,48.005150881242,7.484146635761135e-11
10,49.7738324776723,49.773832477726,5.370281996874837e-11
11,52.970321477714464,52.970321477774,5.95363758293388e-11
12,56.44624769706339,56.450102908684,0.0038552116206105325
13,59.34704400260235,59.347046422032,2.419429648625737e-06
14,60.83177852460981,60.829399727148,-0.0023787974618088015
15,65.1125440480816,65.112630529714,8.648163239399764e-05
16,67.07981052949417,67.091473396998,0.011662867503829943
17,69.54640171117398,69.54679993753,0.00039822635601183265
